ts_code,symbol,exchange,name,fut_code,multiplier,trade_unit,per_unit,quote_unit,quote_unit_desc,d_month,list_date,delist_date,last_ddate
WR2612.SHF,WR2612,SHFE,线材2612,WR,,吨,10.0,人民币元/吨,1人民币元/吨,202612,2025-12-16,2026-12-15,20261217
M2701.DCE,M2701,DCE,豆粕2701,M,,吨,10.0,人民币元/吨,1人民币元/吨,202701,2026-01-19,2027-01-15,20270120
UR2607.ZCE,UR607,CZCE,尿素2607,UR,,吨,20.0,人民币元/吨,1人民币元/吨,202607,2025-07-15,2026-07-14,20260717
SS2604.SHF,SS2604,SHFE,不锈钢2604,SS,,吨,5.0,人民币元/吨,5人民币元/吨,202604,2025-04-16,2026-04-15,20260417
PF2612.ZCE,PF612,CZCE,短纤2612,PF,,吨,5.0,人民币元/吨,2人民币元/吨,202612,2025-12-15,2026-12-14,20261217
FG2701.ZCE,FG701,CZCE,玻璃2701,FG,,吨,20.0,人民币元/吨,1人民币元/吨,202701,2026-01-19,2027-01-14,20270119
HC2608.SHF,HC2608,SHFE,热轧卷板2608,HC,,吨,10.0,人民币元/吨,1人民币元/吨,202608,2025-08-18,2026-08-17,20260819
PB2608.SHF,PB2608,SHFE,沪铅2608,PB,,吨,5.0,人民币元/吨,5人民币元/吨,202608,2025-08-18,2026-08-17,20260819
OI2609.ZCE,OI609,CZCE,菜油2609,OI,,吨,10.0,人民币元/吨,1人民币元/吨,202609,2025-09-15,2026-09-14,20260917
RB2609.SHF,RB2609,SHFE,螺纹钢2609,RB,,吨,10.0,人民币元/吨,1人民币元/吨,202609,2025-09-16,2026-09-15,20260917
PS2609.GFE,PS2609,GFEX,多晶硅2609,PS,,吨,3.0,人民币元/吨,5人民币元/吨,202609,2025-09-15,2026-09-14,20260917
SP2610.SHF,SP2610,SHFE,纸浆2610,SP,,吨,10.0,人民币元/吨,2人民币元/吨,202610,2025-10-16,2026-10-15,20261019
PS2606.GFE,PS2606,GFEX,多晶硅2606,PS,,吨,3.0,人民币元/吨,5人民币元/吨,202606,2025-06-17,2026-06-12,20260617
L2606F.DCE,L2606F,DCE,塑料月均价2606F,L_F,,吨,5.0,人民币元/吨,1人民币元/吨,202606,2025-12-01,2026-05-29,20260529
PP2606F.DCE,PP2606F,DCE,聚丙烯月均价2606F,PP_F,,吨,5.0,人民币元/吨,1人民币元/吨,202606,2025-12-01,2026-05-29,20260529
V2606F.DCE,V2606F,DCE,PVC月均价2606F,V_F,,吨,5.0,人民币元/吨,1人民币元/吨,202606,2025-12-01,2026-05-29,20260529
